"Freq [GHz]","dB(St(1,1)) []"
2,-0.084414418005097
2.02,-0.0837273715001148
2.04,-0.0831355900356819
2.06,-0.0826464124256207
2.08,-0.0822668432542602
2.1,-0.0820036315562741
2.12,-0.0818633483407892
2.14,-0.0818524617509242
2.16,-0.0819774086603562
2.18,-0.0822446615184876
2.2,-0.0826607890130057
2.22,-0.083232508836181
2.24,-0.0839667304509165
2.26,-0.0848705848987796
2.28,-0.0859514381762012
2.3,-0.0872168831900449
2.32,-0.0886747043748644
2.34,-0.0903328075405398
2.36,-0.0921991065735604
2.38,-0.0942813600560016
2.4,-0.0965869607977591
2.42,-0.099122730040103
2.44,-0.101895030364422
2.46,-0.104912605873396
2.48,-0.108237135201991
2.5,-0.111826300373243
2.52,-0.11532989010694
2.54,-0.119235842760385
2.56,-0.123339080038137
2.58,-0.127600229288638
2.6,-0.131974653990796
2.62,-0.136406300580197
2.64,-0.140826914392101
2.66,-0.145157223420629
2.68,-0.149310334511299
2.7,-0.153197851084564
2.72,-0.156738983659906
2.74,-0.159872366915205
2.76,-0.162569493046107
2.78,-0.164847819490543
2.8,-0.166781052871164
2.82,-0.168504221596465
2.84,-0.170212032586237
2.86,-0.172150609238887
2.88,-0.174605185419083
2.9,-0.177885813458258
2.92,-0.18231492088626
2.94,-0.18821943628143
2.96,-0.195928589845736
2.98,-0.205777536824115
3,-0.218116086740979
3.02,-0.233321490456699
3.04,-0.25181433459057
3.06,-0.274076934398588
3.08,-0.300674032447251
3.1,-0.332275993427853
3.12,-0.36968498137454
3.14,-0.413864801016036
3.16,-0.465975178962964
3.18,-0.52741124925699
3.2,-0.599848873657656
3.22,-0.685296133706188
3.24,-0.786150826143609
3.26,-0.905263014360059
3.28,-1.04600058767801
3.3,-1.21231436175314
3.32,-1.40879763991084
3.34,-1.64073368144213
3.36,-1.91412383948636
3.38,-2.23569027115371
3.4,-2.61285144332135
3.42,-3.05367753551044
3.44,-3.56684707782176
3.46,-4.16164520738619
3.48,-4.84806534883067
3.5,-5.63709575717152
3.52,-6.54128479878969
3.54,-7.5756752829658
3.56,-8.7591512117244
3.58,-10.1160409025975
3.6,-11.677034233519
3.62,-13.4753783759874
3.64,-15.5222118266904
3.66,-17.702706786704
3.68,-19.4768682751001
3.7,-19.7911360232684
3.72,-18.4952485504556
3.74,-16.6193003055528
3.76,-14.8147643458077
3.78,-13.2402654093619
3.8,-11.8918261427927
3.82,-10.7335502880591
3.84,-9.73035847708142
3.86,-8.8539373906556
3.88,-8.08243764477794
3.9,-7.39906926475758
3.92,-6.79079107770141
3.94,-6.24730147264801
3.96,-5.76030540244316
3.98,-5.32299277647492
4,-4.92966958694437
4.02,-4.57549697272535
4.04,-4.25630580097276
4.06,-3.96846378420048
4.08,-3.70877901259333
4.1,-3.4744286847071
4.12,-3.26290528519407
4.14,-3.07197488315422
4.16,-2.89964390874275
4.18,-2.74413193067045
4.2,-2.60384876199383
4.22,-2.47737477443574
4.24,-2.36344367752656
4.26,-2.26092726985555
4.28,-2.16882183391878
4.3,-2.08623595048234
4.32,-2.01237957351384
4.34,-1.9465542461904
4.36,-1.8881443625757
4.38,-1.83660939386458
4.4,-1.79147700777483
4.42,-1.75233701641757
4.44,-1.71883609359387
4.46,-1.69067320788978
4.48,-1.6675957235579
4.5,-1.64939612685938
4.52,-1.63590934183038
4.54,-1.62701060603581
4.56,-1.62261388400222
4.58,-1.62267080319955
4.6,-1.62717010578102
4.62,-1.63613761727368
4.64,-1.64963674311024
4.66,-1.66776951381162
4.68,-1.69067821116129
4.7,-1.7185476205882
4.72,-1.75160796655594
4.74,-1.7901385904459
4.76,-1.83447239958158
4.78,-1.88500102659609
4.8,-1.94218058601809
4.82,-2.00653831647946
4.84,-2.07868126340527
4.86,-2.15930769299998
4.88,-2.24921995586942
4.9,-2.3493378425885
4.92,-2.46071341346484
4.94,-2.58454840400353
4.96,-2.72221454741716
4.98,-2.87527693227216
5,-3.04552063781751
5.02,-3.23498104056861
5.04,-3.44597832259146
5.06,-3.6811568867203
5.08,-3.94353065910609
5.1,-4.23653571415581
5.12,-4.56409240654988
5.14,-4.93068041975687
5.16,-5.34143212175397
5.18,-5.80225280406935
5.2,-6.31998149592856
5.22,-6.90261431418611
5.24,-7.55962588704748
5.26,-8.30244728463092
5.28,-9.1451989882432
5.3,-10.1058511801133
5.32,-11.2081275552844
5.34,-12.484770026298
5.36,-13.9834664185821
5.38,-15.7784664557646
5.4,-17.9958500033196
5.42,-20.877269683092
5.44,-24.9806229915255
5.46,-32.0441202061328
5.48,-36.9621599189527
5.5,-28.0805217281594
5.52,-23.6430300362199
5.54,-20.8947391259368
5.56,-18.9751804446463
5.58,-17.549506123023
5.6,-16.4536173650459
5.62,-15.5945517208922
5.64,-14.9139551541146
5.66,-14.3720568216931
5.68,-13.9396048865817
5.7,-13.593184901948
5.72,-13.3120007401664
5.74,-13.0753343830256
5.76,-12.8606713187592
5.78,-12.6442501877494
5.8,-12.413127422996
5.82,-12.2297859154908
5.84,-12.4999792987187
5.86,-14.5043013765146
5.88,-19.39358357779
5.9,-26.1682357685576
5.92,-30.5909063836161
5.94,-28.9002426501276
5.96,-26.5465088948377
5.98,-24.6140698866714
6,-22.9311626470382
6.02,-21.4079505773507
6.04,-20.0214505333483
6.06,-18.7669924268257
6.08,-17.6406478878169
6.1,-16.6359146853857
6.12,-15.7444199405388
6.14,-14.957081040748
6.16,-14.2649006770039
6.18,-13.6593775641441
6.2,-13.1326637276017
6.22,-12.6775804320385
6.24,-12.2875634540274
6.26,-11.9565771642152
6.28,-11.6790180087138
6.3,-11.4496178324878
6.32,-11.263352650539
6.34,-11.1153606621214
6.36,-11.0008731239592
6.38,-10.9151622781712
6.4,-10.8535112495219
6.42,-10.8112111440209
6.44,-10.783589980713
6.46,-10.7660761093276
6.48,-10.7542951482956
6.5,-10.7441943659596
6.52,-10.7321825688366
6.54,-10.7152683242891
6.56,-10.6911764492511
6.58,-10.6584236111572
6.6,-10.6163391193654
6.62,-10.5650256349348
6.64,-10.5052644405195
6.66,-10.4383784722765
6.68,-10.3660714551725
6.7,-10.2902624167068
6.72,-10.2129321446796
6.74,-10.1359932266461
6.76,-10.0611897495247
6.78,-9.990027781478
6.8,-9.92373408856657
6.82,-9.86323835791735
6.84,-9.80917338033099
6.86,-9.76188788441919
6.88,-9.72146763158873
6.9,-9.68776160571656
6.92,-9.66041135887327
6.94,-9.63888260340046
6.96,-9.62249886732475
6.98,-9.61047742715007
7,-9.60196781755555
7.02,-9.59609303416729
7.04,-9.59199315405317
7.06,-9.58887057834343
7.08,-9.58603555243358
7.1,-9.58295015220846
7.12,-9.5792686237111
7.14,-9.57487181617772
7.16,-9.56989326844947
7.18,-9.56473401027783
7.2,-9.56006244794035
7.22,-9.55679622897835
7.24,-9.55606700529735
7.26,-9.55917597330157
7.28,-9.56755166071245
7.3,-9.58271630612603
7.32,-9.60625831941018
7.34,-9.63980497317343
7.36,-9.68499253478858
7.38,-9.74343471748273
7.4,-9.81669118875752
7.42,-9.90623663486675
7.44,-10.013429187888
7.46,-10.1394756598482
7.48,-10.2853900478109
7.5,-10.451941007005
7.52,-10.639583318454
7.54,-10.8483678165777
7.56,-11.0778239818351
7.58,-11.3268098884963
7.6,-11.5933262553506
7.62,-11.8742963347867
7.64,-12.1653232504382
7.66,-12.4604534241932
7.68,-12.7520003497899
7.7,-13.0305150440839
7.72,-13.2850178821352
7.74,-13.5036088862438
7.76,-13.6745182495287
7.78,-13.7875243288312
7.8,-13.8354768222027
7.82,-13.8155117920963
7.84,-13.7295559328028
7.86,-13.5839375293124
7.88,-13.3882477138999
7.9,-13.1538377304641
7.92,-12.8923751703017
7.94,-12.6147450810884
7.96,-12.33039077235
7.98,-12.0470450985536
8,-11.7707384894759
8.02,-11.5059670335703
8.04,-11.2559306384398
8.06,-11.022783784106
8.08,-10.8078680086607
8.1,-10.6119126054088
8.12,-10.4351973202854
8.14,-10.2776653119849
8.16,-10.1389531611465
8.18,-10.0183044171477
8.2,-9.91451326688746
8.22,-9.82631257585562
8.24,-9.75298039821676
8.26,-9.69423427703054
8.28,-9.64974148624268
8.3,-9.61898937882794
8.32,-9.6013996455495
8.34,-9.59643968463602
8.36,-9.60368527446679
8.38,-9.62285551102882
8.4,-9.65383681592633
8.42,-9.69670285959162
8.44,-9.75173218647634
8.46,-9.81942336170971
8.48,-9.90050677209919
8.5,-9.99595197523085
8.52,-10.1069693416961
8.54,-10.2350044793135
8.56,-10.381723390167
8.58,-10.5489852841009
8.6,-10.7387981752251
8.62,-10.9532494305922
8.64,-11.1943987697851
8.66,-11.4641140797633
8.68,-11.7638198913405
8.7,-12.0941136710749
8.72,-12.4541865771782
8.74,-12.8409673484741
8.76,-13.2479054550089
8.78,-13.6633607712773
8.8,-14.0687498429528
8.82,-14.4370253791707
8.84,-14.7327700303596
8.86,-14.915788631523
8.88,-14.9494348707328
8.9,-14.8118455438222
8.92,-14.5042970763549
8.94,-14.050952694687
8.96,-13.4901738650383
8.98,-12.8632834961895
9,-12.2064291546178
9.02,-11.5471797197902
9.04,-10.9045385252207
9.06,-10.2905005365499
9.08,-9.71190803838148
9.1,-9.17205350122959
9.12,-8.67189077755865
9.14,-8.21088991723376
9.16,-7.78761830489634
9.18,-7.40012731556271
9.2,-7.0462059487857
9.22,-6.7235450699249
9.24,-6.42984195939039
9.26,-6.16286505976927
9.28,-5.92049223004693
9.3,-5.70073147075493
9.32,-5.50173018758939
9.34,-5.32177709325541
9.36,-5.15929950246453
9.38,-5.01285787401419
9.4,-4.88113887278488
9.42,-4.76294786230176
9.44,-4.65720151434954
9.46,-4.56292107807536
9.48,-4.47922675125282
9.5,-4.4053335204351
9.52,-4.34054877320345
9.54,-4.28427192706267
9.56,-4.23599626064575
9.58,-4.19531307011134
9.6,-4.1619182060617
9.62,-4.13562097592487
9.64,-4.11635532969694
9.66,-4.10419319220652
9.68,-4.09935977358488
9.7,-4.10225069003945
9.72,-4.11345076011993
9.74,-4.13375439235433
9.76,-4.16418750764576
9.78,-4.20603086620179
9.8,-4.26084436516181
9.82,-4.33049113958363
9.84,-4.41715883455266
9.86,-4.52337276646467
9.88,-4.65199118334174
9.9,-4.80616550092732
9.92,-4.98923696371058
9.94,-5.20452430566341
9.96,-5.4549340959946
9.98,-5.74229917826053
10,-6.06633241913809
